publish_date,status,owner,keyword_id,primary_keyword,topic_pillar,template,working_title,draft_due,review_due,publish_url,seo_checklist
2026-07-16,assigned,Operive content,kw_001,AI workflow automation Dallas services,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Services,2026-07-14,2026-07-15,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-05,planned,Operive content,kw_021,DFW business process automation pricing,Process automation consulting,industry-guide,Dfw Business Process Automation Pricing,2026-08-03,2026-08-04,https://www.operive.com/blog/dfw-business-process-automation-pricing/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-06,planned,Operive content,kw_022,DFW business process automation near me,Process automation consulting,industry-guide,Dfw Business Process Automation Near Me,2026-08-04,2026-08-05,https://www.operive.com/blog/dfw-business-process-automation-near-me/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-07,planned,Operive content,kw_023,DFW business process automation for small business,Process automation consulting,case-study,Dfw Business Process Automation For Small Business,2026-08-05,2026-08-06,https://www.operive.com/blog/dfw-business-process-automation-for-small-business/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-08,planned,Operive content,kw_024,DFW business process automation for restaurants,Process automation consulting,case-study,Dfw Business Process Automation For Restaurants,2026-08-06,2026-08-07,https://www.operive.com/blog/dfw-business-process-automation-for-restaurants/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-09,planned,Operive content,kw_025,DFW business process automation for home services,Process automation consulting,case-study,Dfw Business Process Automation For Home Services,2026-08-07,2026-08-08,https://www.operive.com/blog/dfw-business-process-automation-for-home-services/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-10,planned,Operive content,kw_026,DFW business process automation for med spas,Process automation consulting,case-study,Dfw Business Process Automation For Med Spas,2026-08-08,2026-08-09,https://www.operive.com/blog/dfw-business-process-automation-for-med-spas/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-11,planned,Operive content,kw_027,DFW business process automation for dental offices,Process automation consulting,case-study,Dfw Business Process Automation For Dental Offices,2026-08-09,2026-08-10,https://www.operive.com/blog/dfw-business-process-automation-for-dental-offices/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-12,planned,Operive content,kw_028,DFW business process automation workflow audit,Process automation consulting,how-to,Dfw Business Process Automation Workflow Audit,2026-08-10,2026-08-11,https://www.operive.com/blog/dfw-business-process-automation-workflow-audit/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-13,planned,Operive content,kw_029,DFW business process automation lead response,Process automation consulting,how-to,Dfw Business Process Automation Lead Response,2026-08-11,2026-08-12,https://www.operive.com/blog/dfw-business-process-automation-lead-response/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-14,planned,Operive content,kw_030,DFW business process automation intake automation,Process automation consulting,how-to,Dfw Business Process Automation Intake Automation,2026-08-12,2026-08-13,https://www.operive.com/blog/dfw-business-process-automation-intake-automation/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-15,planned,Operive content,kw_031,automated workflow services Texas,Texas automation services,industry-guide,Automated Workflow Services Texas,2026-08-13,2026-08-14,https://www.operive.com/blog/automated-workflow-services-texas/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-16,planned,Operive content,kw_032,automated workflow services Texas company,Texas automation services,industry-guide,Automated Workflow Services Texas Company,2026-08-14,2026-08-15,https://www.operive.com/blog/automated-workflow-services-texas-company/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-17,planned,Operive content,kw_033,automated workflow services Texas consultant,Texas automation services,industry-guide,Automated Workflow Services Texas Consultant,2026-08-15,2026-08-16,https://www.operive.com/blog/automated-workflow-services-texas-consultant/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-18,planned,Operive content,kw_034,automated workflow services Texas agency,Texas automation services,industry-guide,Automated Workflow Services Texas Agency,2026-08-16,2026-08-17,https://www.operive.com/blog/automated-workflow-services-texas-agency/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-19,planned,Operive content,kw_035,automated workflow services Texas implementation,Texas automation services,how-to,Automated Workflow Services Texas Implementation,2026-08-17,2026-08-18,https://www.operive.com/blog/automated-workflow-services-texas-implementation/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-20,planned,Operive content,kw_036,automated workflow services Texas pricing,Texas automation services,industry-guide,Automated Workflow Services Texas Pricing,2026-08-18,2026-08-19,https://www.operive.com/blog/automated-workflow-services-texas-pricing/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-21,planned,Operive content,kw_037,automated workflow services Texas near me,Texas automation services,industry-guide,Automated Workflow Services Texas Near Me,2026-08-19,2026-08-20,https://www.operive.com/blog/automated-workflow-services-texas-near-me/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-22,planned,Operive content,kw_038,automated workflow services Texas for small business,Texas automation services,case-study,Automated Workflow Services Texas For Small Business,2026-08-20,2026-08-21,https://www.operive.com/blog/automated-workflow-services-texas-for-small-business/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-23,planned,Operive content,kw_039,automated workflow services Texas for restaurants,Texas automation services,case-study,Automated Workflow Services Texas For Restaurants,2026-08-21,2026-08-22,https://www.operive.com/blog/automated-workflow-services-texas-for-restaurants/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-24,planned,Operive content,kw_040,automated workflow services Texas for home services,Texas automation services,case-study,Automated Workflow Services Texas For Home Services,2026-08-22,2026-08-23,https://www.operive.com/blog/automated-workflow-services-texas-for-home-services/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-25,planned,Operive content,kw_041,automated workflow services Texas for med spas,Texas automation services,case-study,Automated Workflow Services Texas For Med Spas,2026-08-23,2026-08-24,https://www.operive.com/blog/automated-workflow-services-texas-for-med-spas/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-26,planned,Operive content,kw_042,automated workflow services Texas for dental offices,Texas automation services,case-study,Automated Workflow Services Texas For Dental Offices,2026-08-24,2026-08-25,https://www.operive.com/blog/automated-workflow-services-texas-for-dental-offices/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-27,planned,Operive content,kw_043,automated workflow services Texas workflow audit,Texas automation services,how-to,Automated Workflow Services Texas Workflow Audit,2026-08-25,2026-08-26,https://www.operive.com/blog/automated-workflow-services-texas-workflow-audit/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-28,planned,Operive content,kw_044,automated workflow services Texas lead response,Texas automation services,how-to,Automated Workflow Services Texas Lead Response,2026-08-26,2026-08-27,https://www.operive.com/blog/automated-workflow-services-texas-lead-response/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-29,planned,Operive content,kw_045,automated workflow services Texas intake automation,Texas automation services,how-to,Automated Workflow Services Texas Intake Automation,2026-08-27,2026-08-28,https://www.operive.com/blog/automated-workflow-services-texas-intake-automation/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
