article_id,publish_date,keyword,slug,published_url,publish_verified_at_utc,article_schema_verified,localized_pages_verified,gsc_submission_status,gsc_submission_timestamp_utc,linkedin_publish_day_post_id,linkedin_day_after_post_id,twitter_publish_day_thread_id,twitter_day_after_thread_id,social_schedule_status,notes
kw_017,2026-08-01,DFW business process automation company,dfw-business-process-automation-company,https://www.operive.com/blog/dfw-business-process-automation-company/,2026-07-16T20:50:10+00:00,yes,en/es/ar,blocked-google-search-console-insufficient-auth-scopes-and-browser-unavailable,,,,,,blocked-buffer-plan-limit-or-rate-limit-no-new-ids,"Live URL, canonical, and Article schema re-verified for articles 13-18; social copy exists but Buffer scheduling is blocked by plan scheduled-post limit/rate limit; GSC Request Indexing is blocked because Search Console API auth lacks webmasters scope and browser UI is unavailable."
kw_018,2026-08-02,DFW business process automation consultant,dfw-business-process-automation-consultant,https://www.operive.com/blog/dfw-business-process-automation-consultant/,2026-07-16T20:50:10+00:00,yes,en/es/ar,blocked-google-search-console-insufficient-auth-scopes-and-browser-unavailable,,,,,,blocked-buffer-plan-limit-or-rate-limit-no-new-ids,"Live URL, canonical, and Article schema re-verified for articles 13-18; social copy exists but Buffer scheduling is blocked by plan scheduled-post limit/rate limit; GSC Request Indexing is blocked because Search Console API auth lacks webmasters scope and browser UI is unavailable."
kw_019,2026-08-03,DFW business process automation agency,dfw-business-process-automation-agency,https://www.operive.com/blog/dfw-business-process-automation-agency/,2026-07-16T20:50:37+00:00,yes-local-jsonld-validator-2026-07-16,en/es/ar-live-200,blocked-no-search-console-ui-or-api-access,,,,,,blocked-no-buffer-token-in-worker-env-and-prior-buffer-plan-limit-10-of-10,"Live URL, canonical, localized pages, and Article JSON-LD verified from public responses. LinkedIn/X assets exist in article_social_schedule.csv, but scheduling could not be completed in this worker: Buffer token is not present in environment and prior tracker state showed Buffer scheduled-post plan limit 10/10. GSC Request Indexing could not be submitted because browser/Search Console UI is unavailable and no URL Inspection indexing credential is present."
kw_020,2026-08-04,DFW business process automation implementation,dfw-business-process-automation-implementation,https://www.operive.com/blog/dfw-business-process-automation-implementation/,2026-07-16T20:50:37+00:00,yes-local-jsonld-validator-2026-07-16,en/es/ar-live-200,blocked-no-search-console-ui-or-api-access,,,,,,blocked-no-buffer-token-in-worker-env-and-prior-buffer-plan-limit-10-of-10,"Live URL, canonical, localized pages, and Article JSON-LD verified from public responses. LinkedIn/X assets exist in article_social_schedule.csv, but scheduling could not be completed in this worker: Buffer token is not present in environment and prior tracker state showed Buffer scheduled-post plan limit 10/10. GSC Request Indexing could not be submitted because browser/Search Console UI is unavailable and no URL Inspection indexing credential is present."
kw_021,2026-08-05,DFW business process automation pricing,dfw-business-process-automation-pricing,https://www.operive.com/blog/dfw-business-process-automation-pricing/,2026-07-16T20:50:37+00:00,yes-local-jsonld-validator-2026-07-16,en/es/ar-live-200,blocked-no-search-console-ui-or-api-access,,,,,,blocked-no-buffer-token-in-worker-env-and-prior-buffer-plan-limit-10-of-10,"Live URL, canonical, localized pages, and Article JSON-LD verified from public responses. LinkedIn/X assets exist in article_social_schedule.csv, but scheduling could not be completed in this worker: Buffer token is not present in environment and prior tracker state showed Buffer scheduled-post plan limit 10/10. GSC Request Indexing could not be submitted because browser/Search Console UI is unavailable and no URL Inspection indexing credential is present."
kw_022,2026-08-06,DFW business process automation near me,dfw-business-process-automation-near-me,https://www.operive.com/blog/dfw-business-process-automation-near-me/,2026-07-16T20:50:37+00:00,yes-local-jsonld-validator-2026-07-16,en/es/ar-live-200,blocked-no-search-console-ui-or-api-access,,,,,,blocked-no-buffer-token-in-worker-env-and-prior-buffer-plan-limit-10-of-10,"Live URL, canonical, localized pages, and Article JSON-LD verified from public responses. LinkedIn/X assets exist in article_social_schedule.csv, but scheduling could not be completed in this worker: Buffer token is not present in environment and prior tracker state showed Buffer scheduled-post plan limit 10/10. GSC Request Indexing could not be submitted because browser/Search Console UI is unavailable and no URL Inspection indexing credential is present."
kw_023,2026-08-07,DFW business process automation for small business,dfw-business-process-automation-for-small-business,https://www.operive.com/blog/dfw-business-process-automation-for-small-business/,2026-07-16T20:50:37+00:00,yes-local-jsonld-validator-2026-07-16,en/es/ar-live-200,blocked-no-search-console-ui-or-api-access,,,,,,blocked-no-buffer-token-in-worker-env-and-prior-buffer-plan-limit-10-of-10,"Live URL, canonical, localized pages, and Article JSON-LD verified from public responses. LinkedIn/X assets exist in article_social_schedule.csv, but scheduling could not be completed in this worker: Buffer token is not present in environment and prior tracker state showed Buffer scheduled-post plan limit 10/10. GSC Request Indexing could not be submitted because browser/Search Console UI is unavailable and no URL Inspection indexing credential is present."
kw_024,2026-08-08,DFW business process automation for restaurants,dfw-business-process-automation-for-restaurants,https://www.operive.com/blog/dfw-business-process-automation-for-restaurants/,2026-07-16T20:50:37+00:00,yes-local-jsonld-validator-2026-07-16,en/es/ar-live-200,blocked-no-search-console-ui-or-api-access,,,,,,blocked-no-buffer-token-in-worker-env-and-prior-buffer-plan-limit-10-of-10,"Live URL, canonical, localized pages, and Article JSON-LD verified from public responses. LinkedIn/X assets exist in article_social_schedule.csv, but scheduling could not be completed in this worker: Buffer token is not present in environment and prior tracker state showed Buffer scheduled-post plan limit 10/10. GSC Request Indexing could not be submitted because browser/Search Console UI is unavailable and no URL Inspection indexing credential is present."
kw_025,2026-08-09,DFW business process automation for home services,dfw-business-process-automation-for-home-services,https://www.operive.com/blog/dfw-business-process-automation-for-home-services/,2026-07-16T20:49:35+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,6a5958408095068878583865,not-applicable-one-article-per-day-cadence,6a595841cefcf117c7b82a78;6a595842763686fc6b4929aa;6a595843235d0d35a00cf400;6a595843763686fc6b4929ce,not-applicable-one-article-per-day-cadence,scheduled-buffer-confirmed-one-article-per-day,Live public URL returned HTTP 200; Article JSON-LD/canonical validated; localized en/es/ar pages and blog indexes verified. Social cadence updated per dashboard instruction to one article per day; publish-day LinkedIn and X assets attempted via Buffer. GSC Request Indexing remains blocked by missing Search Console scope/browser UI access.
kw_026,2026-08-10,DFW business process automation for med spas,dfw-business-process-automation-for-med-spas,https://www.operive.com/blog/dfw-business-process-automation-for-med-spas/,2026-07-16T20:49:35+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,not-applicable-one-article-per-day-cadence,,not-applicable-one-article-per-day-cadence,blocked-buffer-scheduling-see-task-results,Live public URL returned HTTP 200; Article JSON-LD/canonical validated; localized en/es/ar pages and blog indexes verified. Social cadence updated per dashboard instruction to one article per day; publish-day LinkedIn and X assets attempted via Buffer. GSC Request Indexing remains blocked by missing Search Console scope/browser UI access.
kw_027,2026-08-11,DFW business process automation for dental offices,dfw-business-process-automation-for-dental-offices,https://www.operive.com/blog/dfw-business-process-automation-for-dental-offices/,2026-07-16T20:49:35+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,not-applicable-one-article-per-day-cadence,,not-applicable-one-article-per-day-cadence,blocked-buffer-scheduling-see-task-results,Live public URL returned HTTP 200; Article JSON-LD/canonical validated; localized en/es/ar pages and blog indexes verified. Social cadence updated per dashboard instruction to one article per day; publish-day LinkedIn and X assets attempted via Buffer. GSC Request Indexing remains blocked by missing Search Console scope/browser UI access.
kw_028,2026-08-12,DFW business process automation workflow audit,dfw-business-process-automation-workflow-audit,https://www.operive.com/blog/dfw-business-process-automation-workflow-audit/,2026-07-16T20:49:35+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,not-applicable-one-article-per-day-cadence,,not-applicable-one-article-per-day-cadence,blocked-buffer-scheduling-see-task-results,Live public URL returned HTTP 200; Article JSON-LD/canonical validated; localized en/es/ar pages and blog indexes verified. Social cadence updated per dashboard instruction to one article per day; publish-day LinkedIn and X assets attempted via Buffer. GSC Request Indexing remains blocked by missing Search Console scope/browser UI access.
kw_029,2026-08-13,DFW business process automation lead response,dfw-business-process-automation-lead-response,https://www.operive.com/blog/dfw-business-process-automation-lead-response/,2026-07-16T20:49:35+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,not-applicable-one-article-per-day-cadence,,not-applicable-one-article-per-day-cadence,blocked-buffer-scheduling-see-task-results,Live public URL returned HTTP 200; Article JSON-LD/canonical validated; localized en/es/ar pages and blog indexes verified. Social cadence updated per dashboard instruction to one article per day; publish-day LinkedIn and X assets attempted via Buffer. GSC Request Indexing remains blocked by missing Search Console scope/browser UI access.
kw_030,2026-08-14,DFW business process automation intake automation,dfw-business-process-automation-intake-automation,https://www.operive.com/blog/dfw-business-process-automation-intake-automation/,2026-07-16T20:49:35+00:00,yes,en/es/ar,blocked-google-search-console-scope-or-ui-access-required,,,not-applicable-one-article-per-day-cadence,,not-applicable-one-article-per-day-cadence,blocked-buffer-scheduling-see-task-results,Live public URL returned HTTP 200; Article JSON-LD/canonical validated; localized en/es/ar pages and blog indexes verified. Social cadence updated per dashboard instruction to one article per day; publish-day LinkedIn and X assets attempted via Buffer. GSC Request Indexing remains blocked by missing Search Console scope/browser UI access.
